作答ID,用户ID,开始时间,结束时间,作答总时长,作答渠道,发布ID,问卷发布名称,IP,经度,纬度,国家,Province,City,Device,OS,Browser,Pixel,Randomisation,Gender,Age,Education,MotherLanguage,MotherLanguage_2,History_AI_Suage,JsPsych_1,JSPSYCH_2,DiagnosedMBTISelfTrait,MBTI_type,Intro_Extro,Intui_Sens,Felli_Think,Perc_Jude,MBTI_Match_Self_Content,SelfMBTI_1,SelfMBTI_2,SelfMBTI_3,SelfMBTI_4,SelfMBTI_5,SelfMBTI_6,SelfMBTI_7,SelfMBTI_8,SelfMBTI_9,SelfMBTI_10,SelfMBTI_11,SelfMBTI_12,SelfMBTI_13,SelfMBTI_14,SelfMBTI_15,SelfMBTI_16,BrandMBTI_1,BrandMBTI_2,BrandMBTI_3,BrandMBTI_4,BrandMBTI_5,BrandMBTI_6,BrandMBTI_7,BrandMBTI_8,BrandMBTI_9,BrandMBTI_10,BrandMBTI_11,BrandMBTI_12,BrandMBTI_13,BrandMBTI_14,BrandMBTI_15,BrandMBTI_16,InfluencerMBTI_1,InfluencerMBTI_2,InfluencerMBTI_3,InfluencerMBTI_4,InfluencerMBTI_5,InfluencerMBTI_6,InfluencerMBTI_7,InfluencerMBTI_8,InfluencerMBTI_9,InfluencerMBTI_10,InfluencerMBTI_11,InfluencerMBTI_12,InfluencerMBTI_13,InfluencerMBTI_14,InfluencerMBTI_15,InfluencerMBTI_16,ProjectiveMBTI_1,ProjectiveMBTI_2,ProjectiveMBTI_3,ProjectiveMBTI_4,ProjectiveMBTI_5,ProjectiveMBTI_6,ProjectiveMBTI_7,ProjectiveMBTI_8,ProjectiveMBTI_9,ProjectiveMBTI_10,ProjectiveMBTI_11,ProjectiveMBTI_12,ProjectiveMBTI_13,ProjectiveMBTI_14,ProjectiveMBTI_15,ProjectiveMBTI_16,Brand_Influencer_1,Brand_Influencer_2,Brand_Influencer_3,Brand_Influencer_4,Brand_Influencer_5,Brand_Influencer_6,Brand_Influencer_7,Brand_Influencer_8,Brand_Influencer_9,Brand_Influencer_10,Brand_Influencer_11,Brand_Influencer_12,TargetingGap_1_R,TargetingGap_2_R,TargetingGap_3_R,TargetingGap_4,TargetingGap_5_R,DemonstrativeGap_1,DemonstrativeGap_2,DemonstrativeGap_3,DemonstrativeGap_4,DemonstrativeGap_5_R,ConversionGap_1,ConversionGap_2,ConversionGap_3,ConversionGap_4,ConversionGap_5,Relevance_1,Relevance_2,Relevance_3,Relevance_4,Relevance_5,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_1,Persuasiveness_2,Persuasiveness_3,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Persuasiveness_7,Persuasiveness_8,Persuasiveness_9,Excitement_1,Excitement_2,Excitement_3,Excitement_4,Excitement_5,Excitement_6,Excitement_7,Excitement_8,Excitement_9,Referencing_1,Referencing_2,Referencing_3,Referencing_4,Referencing_5,AdEngagement_1,AdEngagement_2,AdEngagement_3,AdEngagement_4,AdEngagement_5,AdEngagement_6,AdEngagement_7,AdEngagement_8,AdEngagement_9,AI_Interactivity,AI_Spontaneity,AI_Immersiveness,AI_Realtime,AI_Intimateness,AI_Empathy,AI_Serendipity,AI_Involvement,AI_Stereotype,AI_Inflexibility,AI_Out_of_Context,AI_Out_of_Memory,AI_Rigidity,AI_Semantic_Drift,AI_Staganance,AI_Low_Credibility,AI_Off_Topic,AI_Ethical_Guardrail,AI_Cultural_Inappropriateness,CAT_HumanLikeness,CAT_AlgorithmRestriction,AIChat_HumanlikeResponsiveness,AIChat_AlgorithmRestriction,Division_AIchatAttitude,Recall_Influencer,Recall_Brand,Recall_TalkObjective,Recall_Length_Talk,Awareness_AIChatbot
11,xebJZwYe,2025-06-05 15:17:15,2025-06-05 15:35:47,1112,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,117.181.164.28,111.5520560,24.4141410,中国,广西壮族自治区,贺州市,COMPUTER,Windows,Chrome,1366px*768px, ,2,2,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_f9ef975703464d059baf14d,INFJ,2,1,1,1,2,2,4,5,2,5,4,3,4,5,4,5,5,4,5,4,5,2,4,4,5,5,4,4,5,4,4,5,2,5,5,4,5,4,4,4,5,5,4,4,3,5,5,4,2,4,5,4,5,5,4,4,2,3,4,5,4,5,4,4,2,4,5,5,4,4,4,4,5,5,5,4,5,4,5,4,4,5,2,2,1,2,2,4,4,5,5,2,4,5,4,4,4,4,4,5,5,4,4,5,5,5,4,4,5,4,5,4,4,5,5,4,5,5,4,5,4,5,5,5,4,5,4,5,5,4,5,4,4,5,5,3,4,4,4,4,5,5,4,5,3,5,2,1,1,2,1,2,2,1,1,1,2,2,1,2.678,.699181818181818,3,6,6,3,5,4
12,KLO4RzEe,2025-06-05 14:41:17,2025-06-05 14:58:16,1019,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,183.215.220.134,113.1328550,29.3702900,中国,湖南省,岳阳市,COMPUTER,Windows,WeChat,1920px*1080px, ,1,3,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_77b63452610940748f218ff,ENTP,11,2,1,2,1,2,4,3,4,4,5,4,3,4,4,4,5,4,4,4,4,4,4,5,4,3,5,4,4,4,4,3,3,3,4,5,4,4,5,5,4,5,5,4,4,4,5,3,5,3,5,4,4,4,5,4,4,4,5,4,4,4,5,3,4,3,4,4,4,4,4,5,5,4,4,5,5,4,4,4,4,4,2,2,1,2,2,4,5,4,4,2,3,5,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,3,4,4,4,5,5,5,4,4,4,3,4,3,3,2,2,2,1,2,2,2,2,2,3,3,1,2,2.306875,.98,2,12,12,3,5,5
13,xLVRNmZL,2025-06-05 12:52:47,2025-06-05 13:12:38,1191,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,36.5.105.97,117.2551450,31.8425720,中国,安徽省,合肥市,COMPUTER,Windows,Chrome,1024px*640px, ,2,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_1229795746a2428aaba4807,INFJ,2,1,1,1,2,2,2,4,2,5,4,5,4,5,2,4,4,5,5,4,4,2,2,4,2,5,5,3,4,5,4,4,2,4,4,4,5,5,2,5,2,3,5,4,4,4,5,4,3,4,3,3,4,4,3,4,2,4,4,4,5,5,4,4,3,4,5,4,5,4,4,4,5,5,4,4,4,5,4,4,4,5,2,2,1,2,2,3,4,3,2,2,4,3,2,2,2,4,4,5,4,4,4,5,5,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,4,5,5,5,2,4,4,4,2,4,4,5,5,4,4,5,5,4,5,4,5,5,4,4,4,5,2,2,2,2,1,1,1,2,1,1,1,2,1,2.753625,.680545454545455,3,6,6,3,3,5
14,pLz3d11e,2025-06-05 12:35:45,2025-06-05 13:12:36,2211,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,61.136.26.119,117.3104298,39.0008800,中国,天津市,市辖区,COMPUTER,Windows,Chrome,2560px*1440px, ,1,1,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_c51388fb5b5b4bb8b2b5cae,ENTJ,12,2,1,2,2,2,5,2,4,1,4,5,4,4,5,4,4,4,5,5,4,1,4,4,5,4,4,5,4,4,5,4,4,4,5,5,4,5,5,5,4,5,5,4,4,4,5,5,5,4,4,4,5,5,5,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,4,5,4,4,5,4,4,4,4,5,4,4,2,2,1,4,2,4,4,4,5,2,4,4,2,1,1,4,4,5,5,4,4,4,5,5,4,4,5,5,4,4,4,5,5,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,3,4,2,5,1,1,2,1,1,2,1,1,2,1,1,1,1,2.432,.608181818181818,1,16,16,3,3,3
15,o7j9n0zM,2025-06-05 12:38:46,2025-06-05 12:54:02,916,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,182.109.84.151,115.3925000,27.7494000,中国,江西省,吉安市,COMPUTER,Windows,Chrome,1536px*864px, ,1,2,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_aaf89ce2cb6c421a940a9c1,ENTP,11,2,1,2,1,2,5,2,5,2,4,5,4,5,5,2,4,5,5,4,2,5,4,2,5,5,4,5,5,5,4,4,2,5,4,4,5,5,5,2,5,4,4,4,3,5,5,5,2,5,5,4,4,5,5,4,5,3,4,4,5,5,3,5,2,5,4,4,5,5,4,4,5,5,5,4,5,5,4,4,5,4,1,1,2,1,1,5,5,4,5,2,4,4,1,1,1,5,5,5,4,4,5,4,5,5,4,4,4,5,5,4,5,5,4,4,5,4,4,5,5,5,4,4,3,3,5,5,3,4,4,5,5,5,4,5,5,4,5,4,5,5,4,5,3,5,1,2,1,1,1,2,2,1,1,1,2,2,1,2.7595,.646181818181818,3,12,12,2,4,5
16,qM6oKbx7,2025-06-05 12:09:54,2025-06-05 12:28:47,1133,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,119.39.76.235,112.8674825,28.2050764,中国,湖南省,长沙市,COMPUTER,Windows,Chrome,1494px*934px, ,2,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_8ee92d63cd2f45519f1c629,INTP,3,1,1,2,1,2,4,4,2,5,4,4,3,4,3,2,5,4,4,5,3,2,4,3,4,4,5,4,3,5,5,3,4,3,4,4,3,3,4,3,5,3,2,4,2,3,3,4,2,4,4,3,5,4,4,3,3,4,5,3,4,3,3,2,4,3,5,4,3,4,4,3,4,4,2,4,5,5,4,3,3,4,2,2,3,5,2,4,5,3,3,2,5,3,4,3,2,3,3,4,5,2,3,4,3,4,4,3,3,4,3,2,3,3,5,4,4,2,3,5,3,3,4,4,4,3,4,4,5,4,4,3,5,4,4,3,5,4,4,5,3,4,4,5,3,5,2,4,1,2,2,3,2,3,2,3,1,2,2,2.551625,1.04381818181818,4,10,10,3,3,3
17,0eyo2XG7,2025-06-05 11:56:54,2025-06-05 12:25:05,1691,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,125.43.77.152,112.4539000,34.6201000,中国,河南省,洛阳市,COMPUTER,Windows,Chrome,1440px*900px, ,2,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_ceac2b93d1274f8e9b68bd3,ISFJ,6,1,2,1,2,2,3,4,2,5,4,3,4,4,2,4,4,4,3,4,4,2,2,4,4,5,4,3,4,3,4,5,4,4,3,2,5,5,2,4,4,3,3,4,4,3,5,3,4,3,3,4,4,2,3,4,3,4,4,4,5,4,4,3,3,4,3,4,2,3,4,4,3,5,4,4,4,5,5,5,4,5,2,1,3,2,3,4,4,3,4,2,3,3,2,3,3,4,4,5,4,3,4,4,3,3,4,4,3,4,4,5,4,5,5,3,3,4,4,3,4,4,3,4,4,5,4,4,5,4,5,4,4,3,4,5,4,5,4,5,4,4,5,5,3,4,2,3,2,2,2,3,3,1,2,2,3,2,2,2.623875,1.075,4,5,5,3,3,5
18,o7j9N6mM,2025-06-05 11:40:40,2025-06-05 11:58:21,1061,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,116.26.3.246,116.7356548,23.3884074,中国,广东省,汕头市,COMPUTER,Windows,Chrome,1440px*900px, ,2,3,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_3afb6ae0aa5d40d093fd802,ISFJ,6,1,2,1,2,2,4,5,4,5,5,3,4,5,4,4,3,3,5,5,5,2,2,4,2,5,4,4,5,4,4,2,5,2,4,4,5,4,2,4,3,2,5,3,4,4,5,4,5,2,4,2,4,4,2,4,3,4,5,4,4,5,4,2,5,2,4,4,5,3,4,5,4,5,4,4,3,4,4,2,4,4,2,1,2,1,2,2,4,4,5,2,4,3,3,1,2,4,5,4,4,5,4,4,5,4,5,4,4,3,3,4,4,5,4,3,4,4,5,4,4,5,4,3,4,4,5,5,4,4,5,4,4,5,4,2,4,4,4,4,5,5,3,3,4,5,2,1,2,2,1,3,2,2,2,3,4,2,2,2.511875,1.02854545454545,4,5,5,2,5,2
19,leNm8qLo,2025-06-05 10:39:37,2025-06-05 10:57:47,1090,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,222.209.254.40,104.0943000,30.6311000,中国,四川省,成都市,COMPUTER,Windows,Chrome,1920px*1080px, ,1,2,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_27a068c004ec411d89ed44b,ENTP,11,2,1,2,1,2,4,2,4,2,4,5,2,4,4,4,5,4,4,5,3,4,4,3,4,4,5,4,4,3,4,4,2,4,5,3,4,3,5,3,4,4,5,3,4,3,4,4,2,4,4,3,4,3,5,4,4,3,5,3,4,3,4,4,2,4,4,3,4,2,4,4,4,5,4,5,4,4,5,4,4,4,2,2,2,2,2,3,3,4,4,2,4,3,2,2,2,4,4,5,4,5,4,4,4,4,5,4,4,5,4,4,5,4,4,3,4,5,4,5,4,4,3,3,2,3,4,4,3,4,4,5,4,3,4,5,4,4,5,4,4,5,4,4,3,4,2,2,2,1,1,1,2,1,1,1,1,2,1,2.5645,.647454545454545,3,12,12,2,3,5
20,ve82XyW7,2025-06-05 10:30:40,2025-06-05 10:48:17,1057,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,119.31.174.105,121.4666410,31.2065000,中国,上海市,市辖区,COMPUTER,Windows,Chrome,1536px*864px, ,2,2,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_c92a9549c2a74a92aaf278b,ENTP,11,2,1,2,1,2,4,1,3,2,2,2,3,4,5,3,4,4,2,4,3,4,3,5,5,5,2,5,4,4,3,5,2,5,5,4,5,3,3,5,5,5,2,5,2,4,4,5,2,4,3,4,4,4,4,5,5,5,3,4,3,4,2,4,1,5,2,4,1,5,4,5,5,5,5,4,5,5,5,3,5,5,2,1,2,1,2,4,5,5,5,2,4,5,2,1,1,4,5,5,3,4,4,3,3,4,4,4,4,5,5,5,4,3,4,3,3,4,5,5,4,5,4,3,2,4,5,5,2,4,5,4,5,5,5,4,4,4,5,4,5,5,3,5,3,5,1,1,1,1,1,1,3,1,1,2,1,2,1,2.6715,.583272727272727,3,12,12,3,4,4
21,JekVd3NL,2025-06-05 09:08:41,2025-06-05 09:32:23,1422,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,219.137.166.74,113.2839000,23.2331000,中国,广东省,广州市,COMPUTER,Windows,Chrome,1440px*900px, ,2,2,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_24abd30c12c24a6ab650d32,ENTP,11,2,1,2,1,2,4,2,3,4,4,3,2,4,4,4,5,4,4,4,4,4,4,4,3,4,5,4,4,5,4,4,2,3,4,4,4,5,3,4,4,4,5,4,4,5,5,4,2,3,4,3,4,4,4,4,5,4,4,5,4,4,5,3,3,4,4,4,5,4,4,4,5,5,4,4,4,5,5,4,4,5,2,2,1,2,2,4,4,5,4,2,3,4,3,2,2,4,4,3,4,4,3,3,4,4,4,4,5,5,3,3,4,4,4,3,4,4,3,4,4,5,3,3,3,3,4,4,4,3,4,4,3,4,4,5,4,4,4,4,5,4,3,3,2,3,4,3,2,2,3,2,2,3,1,2,2,1,2,2.14025,1.12881818181818,2,12,12,3,3,5
22,en908YmL,2025-06-05 08:39:45,2025-06-05 09:08:36,1731,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,123.180.178.180,117.9391520,40.9762040,中国,河北省,承德市,COMPUTER,Windows,Chrome,1600px*900px, ,2,3,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_230b35f851ea4e379ea1b86,INFJ,2,1,1,1,2,2,3,4,2,5,4,3,2,3,3,4,4,4,4,4,3,2,4,3,4,3,3,2,3,3,2,4,3,4,4,4,3,3,4,3,4,4,4,3,4,2,4,3,3,2,4,2,4,3,3,2,4,4,4,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,2,3,2,2,2,4,3,4,3,2,4,3,2,2,2,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,4,3,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,2,2,2,2,3,2,3,2,2,3,2,1,2,2.099625,1.05645454545455,2,6,6,3,2,5
23,ekqK9jd7,2025-06-05 08:51:30,2025-06-05 09:07:59,989,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,111.25.111.36,129.8459080,42.9638540,中国,吉林省,延边朝鲜族自治州,COMPUTER,Windows,Chrome,1440px*900px, ,2,2,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_1a2822e561d844a4bfda30e,ISFJ,6,1,2,1,2,2,4,2,2,4,4,2,2,3,3,4,4,4,4,4,4,2,3,4,5,4,5,4,4,3,4,4,3,4,3,4,5,4,4,4,4,3,4,4,5,3,4,3,3,3,4,5,3,4,3,2,4,3,4,2,4,4,3,4,3,3,4,4,2,4,3,3,2,3,4,4,3,4,4,3,4,3,2,2,1,2,2,4,4,3,5,3,3,3,2,2,2,4,3,4,4,3,4,3,3,4,4,3,3,4,4,3,3,4,3,3,2,3,3,4,3,4,3,3,2,4,4,3,3,3,3,4,3,3,3,2,4,2,4,4,3,4,3,4,2,3,2,2,2,2,2,2,3,2,2,2,2,1,2,2.1055,.982181818181818,2,5,5,3,1,4
24,J7qE2457,2025-06-05 01:13:39,2025-06-05 01:27:52,853,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,105.168.161.115,13.5000000,-14.9200000,安哥拉,Luanda,Luanda,COMPUTER,Windows,Chrome,1739px*979px, ,2,2,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_af3d6fb52ff14128974f6da,ENFP,9,2,1,1,1,2,4,3,4,4,4,4,4,4,3,4,5,5,4,4,3,3,3,4,3,5,5,3,3,4,4,5,2,5,4,4,4,4,4,3,5,4,4,5,5,3,5,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,2,3,2,3,2,2,2,4,5,4,4,4,5,5,4,4,4,3,4,4,2,2,2,2,2,4,4,3,3,2,4,3,2,3,2,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,4,4,4,4,4,3,3,5,2,2,2,2,2,2,2,2,2,2,2,1,2,2.379625,.939636363636364,2,4,4,3,4,3
25,5LmD8rA7,2025-06-04 23:46:32,2025-06-05 00:01:35,903,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,112.19.236.255,106.6333690,30.4563980,中国,四川省,广安市,COMPUTER,Windows,Firefox,2133px*1200px, ,1,2,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_a7ab13614afc48759c01e0e,ISFJ,6,1,2,1,2,2,2,4,2,5,5,4,5,5,5,4,4,5,5,4,5,1,2,5,2,3,5,1,4,3,5,2,4,3,4,2,5,3,3,4,1,2,4,3,5,3,5,2,5,2,5,3,4,2,2,1,2,2,5,4,5,4,5,1,4,2,5,4,5,3,4,4,5,4,4,3,4,5,4,4,4,5,2,2,1,2,2,2,4,2,4,3,3,2,2,1,2,4,4,5,4,5,4,3,4,3,4,4,3,5,5,4,4,5,5,3,4,4,5,4,4,3,4,4,2,1,3,4,2,4,3,3,4,4,5,2,3,3,4,3,5,3,2,3,1,5,2,1,1,2,1,2,2,1,2,3,3,1,1,1.943,.848,1,5,5,3,3,5
26,MRDgz35L,2025-06-04 23:38:17,2025-06-04 23:57:22,1145,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,182.46.3.115,119.1487050,36.6873090,中国,山东省,潍坊市,COMPUTER,Windows,Chrome,1536px*864px, ,2,2,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_a59fdcb5e5d147f98cab708,INTJ,4,1,1,2,2,2,2,5,3,5,5,4,2,4,5,3,4,3,5,2,5,1,4,3,2,4,4,4,3,4,3,4,2,5,4,3,4,5,4,3,4,4,3,3,4,3,4,4,3,2,4,3,4,3,3,4,1,5,5,3,4,4,5,3,5,4,3,3,4,4,3,4,3,3,3,4,4,4,4,4,5,5,2,2,3,2,3,5,5,4,2,3,3,4,4,3,4,5,4,4,4,5,5,4,4,4,4,4,4,5,4,4,3,4,4,3,4,3,4,4,5,4,3,3,4,4,5,4,4,5,4,5,3,4,4,3,5,4,5,4,4,4,5,5,4,5,2,1,2,2,2,3,3,3,2,3,3,2,2,2.76,1.11136363636364,4,14,7,3,3,4
27,Jekbd4BL,2025-06-04 23:41:49,2025-06-04 23:53:41,712,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,111.65.60.195,103.6983647,1.3375669,新加坡,Singapore,Singapore,COMPUTER,Windows,Chrome,1440px*960px, ,2,1,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_79d9e9e100514b099de2a43,ENTP,11,2,1,2,1,2,4,2,3,2,4,5,4,5,4,4,5,4,5,4,2,4,3,5,4,3,4,5,4,5,4,5,4,5,4,5,4,5,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,1,4,5,4,3,5,4,5,4,2,4,3,5,2,4,2,4,1,1,4,2,4,5,4,5,4,5,4,5,4,5,4,5,5,2,1,2,4,3,2,4,3,4,5,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,4,3,2,4,4,4,5,1,2,1,2,1,1,2,1,4,3,5,1,1,3,1,5,4,5,4,5,5,4,5,5,3,5,1,2,1.4965,2.17818181818182,2,12,12,3,3,5
